lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments
44.4464082102,26.0903652404,Bucharest,Romania,Romanian,1970,Paul B. Marian and Dumitru Mazilu,Jane Eyre,Minerva,,
44.4356394541,26.0992223963,Bucharest,Romania,Romanian,1970,Paul B. Marian and Dumitru Mazilu,Jane Eyre,Editura Eminescu,,
44.4815223178,26.1236658304,Bucharest,Romania,Romanian,2009,Radu Lazar,Jane Eyre,Adevarul Holding: Leda,,
44.4449000381,26.0673548707,Bucharest,Romania,Romanian,2013,Mirella Acsente and Cornel Mihai Ionescu,Jane Eyre,Corint,,
