lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
44.4464082102,26.0903652404,Bucharest,Romania,Romanian,1970,Paul B. Marian and Dumitru Mazilu,https://raw.githubusercontent.com/digitalkoine/romanian_storymap/main/romanian/1970%20Marian%20and%20Mazilu.jpg,Jane Eyre,Minerva,,Marian and Mazilu's translation was first published in 1956
44.4356394541,26.0992223963,Bucharest,Romania,Romanian,1970,Paul B. Marian and Dumitru Mazilu,https://raw.githubusercontent.com/digitalkoine/romanian_storymap/main/romanian/1972%20Marian%20and%20Mazilu.jpg,Jane Eyre,Editura Eminescu,,
44.4815223178,26.1236658304,Bucharest,Romania,Romanian,2009,Radu Lazar,https://raw.githubusercontent.com/digitalkoine/romanian_storymap/main/romanian/2009%20Laza%CC%86r.jpg,Jane Eyre,Adevarul Holding: Leda,,
44.4449000381,26.0673548707,Bucharest,Romania,Romanian,2013,Mirella Acsente and Cornel Mihai Ionescu,https://raw.githubusercontent.com/digitalkoine/romanian_storymap/main/romanian/2013%20Acsente%20and%20Ionescu.jpg,Jane Eyre,Corint,,Acsente and Ionescu's translation was first published in 2005
